tconst,ordering,nconst,category,job,characters,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0037343,1,nm0000078,actor,\N,"[""Rocklin""]",,
tt0037522,1,nm0000078,actor,\N,"[""Col. Joseph Madden""]",,
tt0037627,1,nm0000078,actor,\N,"[""John Devlin""]",,
tt0037702,1,nm0000078,actor,\N,"[""Duke Fergus""]",,
tt0038160,2,nm0000078,actor,\N,"[""Lt. (J.G.) 'Rusty' Ryan""]",,
tt0038466,1,nm0000078,archive_footage,\N,"[""Tom Wayne""]",,
tt0039110,2,nm0000078,actor,\N,"[""Captain 'Rusty' Thomas""]",,
tt0039152,1,nm0000078,actor,\N,"[""Quirt Evans""]",,
tt0039927,1,nm0000078,actor,\N,"[""Johnny""]",,
tt0040064,1,nm0000078,actor,\N,"[""Robert Marmaduke Sangster Hightower""]",,
tt0040369,1,nm0000078,actor,\N,"[""Capt. Kirby York""]",,
tt0040724,1,nm0000078,actor,\N,"[""Thomas Dunson""]",,
tt0040946,1,nm0000078,actor,\N,"[""Capt. Ralls""]",,
tt0041361,1,nm0000078,actor,\N,"[""John Breen""]",,
tt0041841,1,nm0000078,actor,\N,"[""Sgt. John M. Stryker""]",,
tt0041866,1,nm0000078,actor,\N,"[""Capt. Nathan Cutting Brittles""]",,
tt0042895,1,nm0000078,actor,\N,"[""Lt. Col. Kirby Yorke""]",,
tt0043363,8,nm0000078,producer,producer,\N,,
tt0043547,1,nm0000078,actor,\N,"[""Maj. Daniel Xavier Kirby""]",,
tt0043887,1,nm0000078,actor,\N,"[""Lt Cmdr. Duke E. Gifford""]",,
tt0044418,1,nm0000078,actor,\N,"[""Jim McLain""]",,
tt0045061,1,nm0000078,actor,\N,"[""Sean Thornton""]",,
tt0045883,1,nm0000078,actor,\N,"[""Hondo Lane""]",,
tt0045919,1,nm0000078,actor,\N,"[""Capt. Dooley""]",,
tt0046463,1,nm0000078,actor,\N,"[""Stephen Aloysius 'Steve' Williams""]",,
tt0047086,1,nm0000078,actor,\N,"[""Dan Roman""]",,
tt0047889,1,nm0000078,actor,\N,"[""Capt. Tom Wilder""]",,
tt0047931,1,nm0000078,self,\N,"[""Self - Narrator""]",,
tt0048562,1,nm0000078,actor,\N,"[""Mike Cronin""]",,
tt0048593,1,nm0000078,actor,\N,"[""Capt. Karl Ehrlich""]",,
tt0049092,1,nm0000078,actor,\N,"[""Temujin - later Genghis Khan""]",,
tt0049730,1,nm0000078,actor,\N,"[""Ethan Edwards""]",,
tt0050562,1,nm0000078,actor,\N,"[""Col. Jim Shannon""]",,
tt0050629,1,nm0000078,actor,\N,"[""Joe January""]",,
tt0051198,1,nm0000078,actor,\N,"[""Frank W. 'Spig' Wead""]",,
tt0051398,1,nm0000078,actor,\N,"[""Townsend Harris""]",,
tt0052902,1,nm0000078,actor,\N,"[""Col. John Marlowe""]",,
tt0053221,1,nm0000078,actor,\N,"[""Sheriff John T. Chance""]",,
tt0053580,1,nm0000078,actor,\N,"[""Col. Davy Crockett""]",,
tt0054127,1,nm0000078,actor,\N,"[""Sam McCord""]",,
tt0054757,1,nm0000078,actor,\N,"[""Capt. Jake Cutter""]",,
tt0056059,1,nm0000078,actor,\N,"[""Sean Mercer""]",,
tt0056085,2,nm0000078,actor,\N,"[""Gen. William Tecumseh Sherman""]",,
