tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt0020691,movie,The Big Trail,The Big Trail,0,1930,\N,125,Adventure,Romance,Western,,,,,,,,,,,,,,,,,,,,,,
tt0025373,movie,The Lawless Frontier,The Lawless Frontier,0,1934,\N,59,Action,Adventure,Romance,,,,,,,,,,,,,,,,,,,,,,
tt0065150,movie,The Undefeated,The Undefeated,0,1969,\N,119,Action,Adventure,Romance,,,,,,,,,,,,,,,,,,,,,,
